追加	950106168-004	 青:3 黄:3 赤:1 橙:1 黒:1 白:1 緑:1
追加	950104073-003	 赤:3 緑:3 黒:2 白:2 黄:1
出勤	950104202-006	 白:3 黒:2 緑:2 紫:1 茶:1 橙:1 黄:1
出勤	950105128-010	 青:4 黄:2 黒:2 赤:1 白:1 緑:1
出勤	950104110-002	 黒:3 赤:2 白:2 青:1 紫:1 黄:1 緑:1
合計	950107030-002	 黄:4 青:2 赤:2 黒:2 緑:1
合計	950106156-006	 赤:3 青:2 橙:1 黄:1 黒:1 桃:1 白:1 緑:1
合計	950104062-005	 黒:3 青:2 赤:2 黄:2 橙:1 緑:1
売買	950105033-055	 黒:3 橙:2 紫:1 赤:1 茶:1 黄:1 灰:1 白:1
売買	950104136-014	 赤:5 茶:2 青:1 黄:1 灰:1 黒:1
売買	950105001-019	 橙:4 白:3 黄:2 青:1 灰:1
嫌い	950103008-049	 黒:6 灰:3 紫:1 赤:1
嫌い	950104065-010	 紫:3 赤:2 茶:2 灰:2 黒:2
嫌い	950103008-049	 黒:3 紫:2 赤:2 黄:1 桃:1 白:1 緑:1
券	950105247-003	 白:5 青:3 灰:2 黄:1
券	950103086-013	 白:4 緑:3 黄:2 橙:1 桃:1
券	950105247-009	 白:5 黄:3 青:1 茶:1 緑:1
タイプ	950103071-014	 青:2 橙:2 黒:2 紫:1 赤:1 緑:1 灰:1 白:1
タイプ	950105063-003	 灰:3 黄:2 黒:2 緑:2 橙:1 白:1
タイプ	950105067-003	 橙:3 黒:2 灰:2 青:1 赤:1 茶:1 緑:1
節	950101168-005	 黄:3 茶:2 青:1 赤:1 橙:1 黒:1 白:1 緑:1
節	950104220-013	 茶:4 赤:2 黄:2 青:1 白:1 緑:1
節	950107129-013	 桃:3 白:3 紫:1 橙:1 黄:1 灰:1 緑:1
骨髄	950105147-003	 白:6 赤:4 青:1
骨髄	950105147-008	 白:4 灰:3 青:2 茶:1 黄:1
骨髄	950105147-001	 赤:3 灰:3 白:2 橙:1 黄:1 桃:1
役場	950101110-003	 灰:3 青:2 白:2 橙:1 茶:1 黄:1 黒:1
役場	950104227-004	 灰:3 茶:2 青:1 紫:1 黄:1 黒:1 白:1 緑:1
役場	950104227-007	 青:3 茶:3 灰:2 白:2 黒:1
造船	950104051-010	 青:3 黒:3 灰:2 茶:1 白:1 緑:1
造船	950101147-021	 灰:4 青:3 白:2 茶:1 橙:1
造船	950104048-007	 青:4 灰:2 黒:2 白:2 茶:1
公共	950107027-009	 黄:3 青:2 灰:2 茶:1 橙:1 黒:1 白:1
公共	950107029-002	 緑:4 青:3 白:2 黄:1 灰:1
公共	950106149-014	 茶:3 青:2 灰:2 黒:2 紫:1 黄:1
天才	950101077-052	 青:2 黒:2 桃:2 白:2 紫:1 赤:1 黄:1
天才	950101075-034	 白:5 紫:2 橙:1 赤:1 黄:1 緑:1
天才	950101075-028	 紫:4 黄:2 白:2 青:1 橙:1 灰:1
組織	950104043-006	 緑:4 黄:2 青:1 赤:1 茶:1 黒:1 桃:1
組織	950106034-016	 白:4 紫:1 赤:1 緑:1 茶:1 橙:1 黒:1 灰:1
組織	950104157-008	 黒:6 灰:3 青:2
波	950101075-015	 青:8 赤:3
波	950107102-006	 青:8 黄:2 黒:1
波	950103014-010	 青:4 白:4 緑:2 赤:1
飲食	950103141-011	 青:3 黄:3 赤:1 橙:1 黒:1 桃:1 白:1
飲食	950105155-003	 黒:4 白:2 紫:1 橙:1 茶:1 黄:1 緑:1
飲食	950104210-001	 赤:3 黄:3 青:1 橙:1 茶:1 黒:1 白:1
独自	950101015-004	 黒:4 白:4 灰:3
独自	950107023-012	 青:3 黒:2 白:2 紫:1 赤:1 灰:1 緑:1
独自	950101104-008	 白:4 紫:2 黄:2 青:1 灰:1 黒:1
無数	950104200-007	 黒:4 紫:2 灰:2 白:2 赤:1
無数	950105147-005	 白:4 灰:2 紫:1 橙:1 茶:1 黄:1 黒:1
無数	950104038-001	 白:4 青:3 紫:1 橙:1 黄:1 灰:1
スピード	950105101-014	 橙:4 青:2 紫:2 赤:1 黄:1 灰:1
スピード	950105101-020	 青:4 黄:3 赤:1 桃:1 白:1 緑:1
スピード	950103072-002	 青:7 赤:2 茶:1 黄:1
閉鎖	950101169-004	 灰:5 黒:3 青:2 赤:1
閉鎖	950104157-003	 黒:6 灰:4 赤:1
閉鎖	950105057-004	 黒:4 青:2 灰:2 紫:1 赤:1 白:1
献金	950107023-008	 茶:3 黄:3 赤:2 黒:1 灰:1 白:1
献金	950107023-003	 灰:3 黒:3 緑:2 青:1 茶:1 白:1
献金	950107023-005	 黄:3 灰:3 白:2 紫:1 青:1 黒:1
先行	950101075-016	 青:3 赤:2 緑:2 橙:1 茶:1 黒:1 白:1
先行	950101143-011	 赤:3 白:3 青:2 紫:1 黄:1 緑:1
先行	950105065-001	 青:4 赤:2 黄:2 紫:1 黒:1 灰:1
選出	950106150-009	 青:2 赤:2 黄:2 灰:2 白:2 橙:1
選出	950101104-007	 青:3 橙:2 黄:2 黒:2 赤:1 灰:1
選出	950105182-013	 緑:3 青:2 橙:2 白:2 茶:1 黒:1
ブティック	950104065-020	 桃:3 紫:2 赤:2 茶:2 黄:1 白:1
ブティック	950101073-026	 茶:3 紫:2 橙:2 黒:2 赤:1 灰:1
ブティック	950106180-019	 青:3 橙:2 桃:2 白:2 紫:1 灰:1
有利	950105222-003	 赤:7 青:1 黄:1 灰:1 黒:1
有利	950101151-004	 青:3 黄:3 赤:2 紫:1 桃:1 白:1
有利	950101143-005	 赤:4 白:3 青:1 橙:1 黄:1 緑:1
背景	950105247-013	 青:4 灰:3 茶:1 桃:1 白:1 緑:1
背景	950105222-007	 白:3 紫:2 灰:2 黒:2 青:1 黄:1
背景	950103025-005	 黒:3 灰:2 紫:1 赤:1 緑:1 青:1 茶:1 白:1
往復	950105247-010	 白:3 青:2 緑:2 赤:1 黄:1 灰:1 黒:1
往復	950105247-011	 青:3 黒:3 緑:2 紫:1 橙:1 赤:1
往復	950105247-004	 青:4 白:3 橙:2 紫:1 茶:1
アメリカズ	950101139-018	 赤:5 黄:3 青:2 黒:1
アメリカズ	950101151-001	 赤:6 黒:2 青:1 茶:1 黄:1
アメリカズ	950101146-012	 赤:4 黒:2 青:1 紫:1 黄:1 桃:1 白:1
合同	950104109-001	 青:3 黒:3 灰:2 白:2 橙:1
合同	950107007-009	 橙:3 灰:2 白:2 紫:1 青:1 赤:1 黒:1
合同	950101104-008	 黒:3 青:2 赤:1 橙:1 茶:1 黄:1 灰:1 緑:1
レコード	950101102-001	 黒:4 茶:2 黄:2 青:1 橙:1 赤:1
レコード	950103136-003	 黒:4 赤:2 緑:2 青:1 黄:1 桃:1
レコード	950106160-008	 黒:8 黄:1 灰:1 緑:1
文明	950104177-018	 紫:2 茶:2 白:2 赤:1 緑:1 青:1 黄:1 灰:1
文明	950104177-001	 茶:4 橙:2 白:2 緑:2 青:1
文明	950104177-014	 白:3 紫:2 青:2 茶:1 黄:1 灰:1 緑:1
闘志	950106117-017	 赤:10 青:1
闘志	950105096-016	 赤:7 橙:2 紫:1 緑:1
闘志	950106113-009	 赤:10 橙:1
時計回り	950105232-009	 青:4 茶:3 白:2 黄:1 黒:1
時計回り	950105232-010	 青:5 緑:3 赤:1 茶:1 白:1
時計回り	950105232-010	 青:3 茶:3 黒:2 橙:1 黄:1 灰:1
ベスト	950104132-016	 橙:5 青:2 赤:2 黄:1 白:1
ベスト	950106105-014	 赤:3 黄:3 青:2 紫:1 橙:1 白:1
ベスト	950103080-001	 赤:2 橙:2 白:2 緑:2 青:1 茶:1 桃:1
バンク	950106154-005	 青:3 橙:2 白:2 赤:1 灰:1 黒:1 緑:1
バンク	950105066-005	 白:4 青:2 黄:2 赤:1 灰:1 黒:1
バンク	950105121-008	 赤:4 青:2 白:2 紫:1 橙:1 黒:1
首相	950103011-004	 赤:3 黒:3 青:1 紫:1 灰:1 白:1 緑:1
首相	950105046-003	 黄:3 紫:2 黒:2 白:2 青:1 赤:1
首相	950107019-002	 青:4 黒:2 灰:2 紫:1 茶:1 白:1
出発	950101158-005	 青:4 緑:4 茶:1 黄:1 黒:1
出発	950101136-026	 橙:3 青:2 赤:2 緑:2 黒:1 白:1
出発	950104231-003	 白:4 青:2 黒:2 赤:1 黄:1 灰:1
界	950101053-011	 黒:3 灰:3 青:1 茶:1 黄:1 白:1 緑:1
界	950101044-001	 白:4 青:3 桃:3 黄:1
界	950101075-003	 白:5 青:2 橙:2 紫:1 緑:1
開始	950105170-012	 青:4 橙:3 赤:2 白:1 緑:1
開始	950103086-025	 青:4 白:3 黒:2 黄:1 緑:1
開始	950107017-008	 青:3 白:3 赤:2 紫:1 桃:1 黒:1
重油	950106024-002	 黒:7 茶:2 黄:1 灰:1
重油	950103032-002	 黒:5 茶:3 赤:1 橙:1 緑:1
重油	950106024-006	 黒:9 茶:1 橙:1
会員	950101073-051	 橙:4 青:3 紫:1 黒:1 白:1 緑:1
会員	950105118-018	 青:3 黄:2 白:2 茶:1 黒:1 桃:1 緑:1
会員	950101166-009	 緑:3 茶:2 黄:2 青:1 赤:1 黒:1 白:1
原価	950107027-011	 青:3 黒:3 灰:2 赤:1 黄:1 白:1
原価	950103002-007	 白:4 黄:2 茶:1 赤:1 橙:1 黒:1 桃:1
原価	950107027-012	 青:3 紫:2 茶:2 橙:1 黄:1 黒:1 緑:1
違反	950106157-001	 赤:5 黒:4 灰:2
違反	950105033-003	 赤:3 黒:3 紫:2 橙:1 灰:1 緑:1
違反	950103030-010	 赤:8 青:1 黄:1 桃:1
訪問	950101074-023	 青:5 茶:2 黒:2 白:1 緑:1
訪問	950104136-014	 黄:3 青:2 赤:1 緑:1 茶:1 橙:1 黒:1 灰:1
訪問	950104232-016	 白:4 緑:2 紫:1 青:1 橙:1 赤:1 黒:1
チャンス	950105096-014	 黄:5 赤:3 青:1 橙:1 緑:1
チャンス	950103036-014	 黄:3 青:2 赤:2 橙:2 白:1 緑:1
チャンス	950103083-003	 黄:4 青:2 橙:2 赤:1 白:1 緑:1
基地	950107007-005	 黒:4 灰:3 緑:2 青:1 茶:1
基地	950105017-005	 灰:6 黄:2 茶:1 黒:1 緑:1
基地	950107007-011	 灰:4 茶:3 橙:1 黄:1 黒:1 白:1
初代	950107103-011	 白:4 黒:2 青:1 橙:1 赤:1 黄:1 桃:1
初代	950101050-009	 白:3 青:2 黒:2 紫:1 赤:1 黄:1 緑:1
初代	950101075-007	 白:3 赤:2 黄:2 紫:1 茶:1 桃:1 灰:1
容易	950103080-006	 青:3 赤:2 黄:2 桃:2 紫:1 白:1
容易	950105128-011	 白:3 青:2 赤:1 桃:1 緑:1 茶:1 黄:1 灰:1
容易	950106177-006	 灰:4 白:2 赤:1 橙:1 黄:1 桃:1 緑:1
実態	950105001-001	 黒:4 橙:2 茶:2 紫:1 青:1 白:1
実態	950106021-004	 黒:3 灰:2 赤:1 緑:1 青:1 橙:1 茶:1 白:1
実態	950105222-001	 茶:4 黒:2 青:1 黄:1 桃:1 灰:1 白:1
動員	950104231-002	 赤:3 青:2 黄:2 緑:2 橙:1 灰:1
動員	950106168-007	 黄:2 灰:2 黒:2 白:2 紫:1 青:1 緑:1
動員	950105207-006	 橙:3 黄:3 黒:2 赤:1 茶:1 緑:1
踊り	950103029-004	 桃:4 赤:3 紫:2 橙:1 白:1
踊り	950105205-005	 赤:4 黄:3 桃:3 紫:1
踊り	950106180-021	 桃:3 青:2 紫:1 赤:1 橙:1 茶:1 黄:1 灰:1
職場	950104016-011	 灰:2 黒:2 白:2 青:1 茶:1 赤:1 黄:1 緑:1
職場	950106160-002	 灰:3 茶:2 黒:2 白:2 赤:1 橙:1
職場	950106082-008	 青:4 灰:4 黒:2 茶:1
余裕	950103083-002	 青:3 白:3 緑:2 橙:1 黄:1 桃:1
余裕	950104080-017	 黄:4 緑:3 青:1 桃:1 黒:1 白:1
余裕	950103071-009	 橙:3 黄:3 桃:2 青:1 黒:1 緑:1
主演	950105208-007	 赤:3 桃:2 緑:1 青:1 橙:1 灰:1 黒:1 白:1
主演	950105207-014	 赤:5 黄:2 紫:1 橙:1 白:1 緑:1
主演	950104184-001	 青:3 赤:3 白:2 茶:1 黄:1 桃:1
契約	950103001-004	 青:2 橙:2 赤:2 黄:2 灰:2 白:1
契約	950106158-014	 白:3 黒:2 紫:1 赤:1 青:1 茶:1 橙:1 黄:1
契約	950105145-012	 赤:4 灰:2 紫:1 橙:1 茶:1 黒:1 白:1
立ち合い	950105094-007	 紫:2 青:2 黒:2 赤:1 茶:1 橙:1 黄:1 灰:1
立ち合い	950107103-009	 茶:2 橙:2 黄:2 白:2 紫:1 青:1 赤:1
立ち合い	950107103-013	 赤:4 茶:3 紫:1 橙:1 黄:1 黒:1
議長	950105181-002	 黒:4 灰:3 赤:2 紫:1 緑:1
議長	950106177-006	 黒:3 茶:2 黄:2 紫:1 赤:1 灰:1 白:1
議長	950106177-005	 青:3 黒:3 緑:2 橙:1 灰:1 白:1
交付	950104015-009	 黄:4 青:2 白:2 橙:1 黒:1 緑:1
交付	950104015-002	 黒:3 緑:3 青:2 紫:1 赤:1 白:1
交付	950104015-008	 黄:3 灰:3 青:1 茶:1 橙:1 黒:1 白:1
解放	950104031-006	 赤:3 青:2 白:2 緑:2 黄:1 黒:1
解放	950104027-002	 青:3 黄:2 白:2 赤:1 灰:1 黒:1 緑:1
解放	950103071-020	 白:4 青:2 黒:2 赤:1 灰:1 緑:1
既婚	950104063-010	 赤:4 紫:2 橙:2 黄:2 青:1
既婚	950104063-006	 赤:3 黒:3 桃:2 紫:1 青:1 黄:1
既婚	950104016-012	 赤:3 青:2 橙:1 黄:1 桃:1 黒:1 白:1 緑:1
独立	950105053-002	 赤:2 青:2 茶:2 紫:1 橙:1 黄:1 灰:1 白:1
独立	950105203-003	 白:3 緑:3 赤:2 青:1 橙:1 黄:1
独立	950104141-007	 黒:4 青:3 灰:2 茶:1 白:1
芸	950105208-009	 緑:3 紫:2 青:2 赤:2 橙:2
芸	950107129-031	 赤:4 橙:3 桃:2 紫:1 黄:1
芸	950107129-008	 紫:3 緑:3 青:1 橙:1 黄:1 桃:1 白:1
完成	950101157-018	 赤:4 黄:3 青:2 白:1 緑:1
完成	950105201-003	 黄:3 緑:3 白:2 紫:1 赤:1 灰:1
完成	950104228-003	 青:4 赤:2 黄:2 白:2 茶:1
対照	950107102-005	 赤:3 白:3 橙:2 青:1 黄:1 灰:1
対照	950104062-003	 赤:2 橙:2 黄:2 白:2 桃:1 黒:1 緑:1
対照	950107128-004	 黄:5 紫:2 橙:2 赤:1 灰:1
宝飾	950103048-001	 黄:5 紫:3 青:1 赤:1 灰:1
