組織	 黒:3 灰:3 紫:1 橙:1 桃:1 白:1 緑:1
波	 青:7 白:3 灰:1
飲食	 白:3 茶:2 桃:2 青:1 橙:1 灰:1 緑:1
独自	 黒:3 紫:2 青:1 橙:1 黄:1 桃:1 白:1 緑:1
無数	 黒:3 白:3 赤:2 青:1 桃:1 緑:1
スピード	 赤:6 青:3 桃:1 緑:1
閉鎖	 黒:5 灰:3 黄:2 紫:1
献金	 灰:3 黄:2 紫:1 青:1 桃:1 黒:1 白:1 緑:1
先行	 青:4 白:4 茶:1 赤:1 黄:1
選出	 青:5 紫:1 赤:1 茶:1 黒:1 桃:1 緑:1
ブティック	 茶:4 紫:2 桃:2 橙:1 黒:1 白:1
有利	 赤:3 青:2 紫:2 橙:1 黄:1 白:1 緑:1
背景	 青:4 白:2 緑:2 紫:1 橙:1 黄:1
往復	 緑:3 茶:2 白:2 紫:1 赤:1 黄:1 黒:1
アメリカズ	 赤:5 青:4 黒:1 白:1
合同	 青:3 緑:3 紫:1 茶:1 灰:1 黒:1 白:1
レコード	 黒:7 橙:2 青:1 白:1
文明	 茶:6 黄:2 紫:1 赤:1 緑:1
闘志	 赤:7 青:2 橙:1 黄:1
時計回り	 白:5 黒:3 青:1 黄:1 緑:1
ベスト	 青:2 白:2 紫:1 赤:1 桃:1 緑:1 茶:1 灰:1 黒:1
バンク	 灰:3 白:3 黄:2 赤:1 桃:1 黒:1
首相	 黒:5 青:2 白:2 茶:1 灰:1
出発	 青:4 白:3 赤:2 橙:1 黄:1
界	 黒:4 青:2 桃:2 灰:1 白:1 緑:1
開始	 赤:3 緑:3 橙:2 白:2 黄:1
重油	 黒:8 灰:2 茶:1
会員	 赤:4 青:3 茶:1 黄:1 黒:1 白:1
原価	 青:2 赤:2 茶:2 白:2 橙:1 桃:1 緑:1
違反	 赤:8 紫:1 橙:1 黒:1
訪問	 青:3 黄:2 黒:2 紫:1 赤:1 橙:1 緑:1
チャンス	 赤:5 黄:3 橙:1 白:1 緑:1
基地	 灰:5 緑:3 茶:1 黒:1 白:1
初代	 白:10 紫:1
容易	 青:4 白:2 緑:2 紫:1 黄:1 桃:1
実態	 白:3 黒:2 紫:1 桃:1 橙:1 茶:1 黄:1 灰:1
動員	 赤:4 黒:4 白:2 青:1
踊り	 赤:5 桃:3 黄:1 白:1 緑:1
職場	 灰:4 茶:2 白:2 青:1 黒:1 緑:1
余裕	 白:4 赤:3 黄:2 黒:1 桃:1
主演	 橙:3 白:3 赤:2 青:1 紫:1 灰:1
契約	 紫:2 白:2 桃:1 緑:1 青:1 茶:1 黄:1 灰:1 黒:1
立ち合い	 青:2 赤:2 黒:2 橙:1 黄:1 灰:1 白:1 緑:1
議長	 黒:4 紫:2 茶:2 赤:1 灰:1 白:1
交付	 白:3 青:2 紫:1 赤:1 緑:1 茶:1 黄:1 黒:1
解放	 白:6 緑:2 青:1 赤:1 黄:1
既婚	 桃:3 白:2 緑:2 青:1 紫:1 茶:1 黒:1
独立	 青:3 白:3 紫:1 赤:1 黄:1 灰:1 緑:1
芸	 茶:3 紫:2 橙:2 緑:2 赤:1 桃:1
完成	 赤:3 白:3 青:2 緑:2 黄:1
対照	 橙:4 灰:2 紫:1 茶:1 赤:1 黒:1 白:1
宝飾	 白:3 青:2 赤:2 黄:2 紫:1 橙:1
受講	 青:3 茶:3 橙:2 黄:1 灰:1 緑:1
アルバム	 茶:4 赤:3 橙:1 桃:1 黒:1 白:1
困難	 黒:4 赤:3 灰:3 紫:1
東北	 青:4 白:3 灰:2 茶:1 黒:1
豊富	 緑:3 橙:2 赤:1 青:1 茶:1 黄:1 黒:1 白:1
閣議	 茶:3 黒:3 紫:2 黄:2 赤:1
年賀	 赤:5 白:5 橙:1
生産	 青:2 橙:2 黄:2 赤:1 桃:1 緑:1 灰:1 白:1
テンポ	 黄:3 赤:2 橙:2 白:2 紫:1 緑:1
白紙	 白:8 紫:1 茶:1 灰:1
騒ぎ	 黄:4 赤:2 灰:2 紫:1 青:1 黒:1
シティ	 青:4 灰:3 白:2 紫:1 橙:1
足	 白:4 橙:2 灰:2 紫:1 茶:1 緑:1
麻薬	 灰:5 白:2 紫:1 橙:1 赤:1 黒:1
当たり前	 赤:3 白:3 青:2 黄:1 黒:1 緑:1
国防	 赤:3 黒:3 青:1 茶:1 灰:1 白:1 緑:1
交渉	 灰:4 青:2 白:2 黄:1 黒:1 緑:1
犯罪	 黒:6 赤:2 灰:2 黄:1
ジハード	 灰:4 黒:3 白:2 青:1 緑:1
年頭	 白:7 黄:2 黒:1 灰:1
バランス	 緑:2 灰:2 白:2 赤:1 桃:1 青:1 橙:1 黄:1
取り調べ	 灰:5 黒:2 赤:1 茶:1 白:1 緑:1
供与	 青:3 黄:2 黒:2 灰:2 橙:1 茶:1
出版	 緑:4 黒:3 白:3 灰:1
情報	 青:6 白:3 灰:1 緑:1
集計	 赤:3 黒:3 白:2 茶:1 黄:1 緑:1
遠隔	 青:3 黄:2 白:2 紫:1 灰:1 黒:1 桃:1
配管	 灰:7 茶:3 黄:1
市場	 青:6 桃:2 白:2 黄:1
大衆	 黒:2 白:2 緑:2 青:1 橙:1 茶:1 黄:1 灰:1
件数	 黒:3 緑:3 茶:2 青:1 桃:1 灰:1
史	 白:5 黒:3 茶:2 青:1
駐留	 灰:3 黒:3 青:1 茶:1 赤:1 黄:1 白:1
課長	 青:3 黒:3 紫:1 橙:1 茶:1 灰:1 緑:1
うち	 茶:2 黒:2 白:2 紫:1 赤:1 桃:1 黄:1 灰:1
警備	 青:3 黒:3 桃:2 橙:1 赤:1 茶:1
庁	 白:5 灰:2 青:1 赤:1 茶:1 黒:1
腐敗	 茶:4 灰:3 黒:2 青:1 赤:1
サオ	 茶:3 黒:3 青:2 橙:1 桃:1 白:1
イノシシ	 茶:9 赤:1 灰:1
男子	 青:5 黒:5 赤:1
"ソフト"	 白:9 茶:1 桃:1
歴史	 茶:3 橙:2 黄:2 紫:1 赤:1 灰:1 緑:1
修習	 青:4 白:2 緑:2 紫:1 橙:1 赤:1
暫定	 緑:3 黄:2 灰:2 白:2 橙:1 赤:1
記事	 黒:3 青:2 茶:2 白:2 紫:1 緑:1
遭難	 黒:3 赤:2 紫:1 青:1 茶:1 黄:1 灰:1 白:1
曲	 黄:3 桃:3 白:2 青:1 赤:1 黒:1
扱い	 灰:3 橙:2 白:2 青:1 茶:1 黒:1 桃:1
特色	 赤:3 黄:2 桃:2 緑:2 黒:1 白:1
民営	 青:4 黄:2 緑:2 紫:1 茶:1 白:1
直行	 青:3 緑:3 黒:2 茶:1 赤:1 白:1
記載	 黒:4 緑:4 白:3
証言	 黒:3 白:3 青:1 紫:1 橙:1 黄:1 灰:1
演劇	 茶:3 赤:3 黄:2 緑:2 橙:1
採用	 白:5 青:2 赤:1 黄:1 黒:1 緑:1
連発	 赤:6 青:1 橙:1 黄:1 桃:1 白:1
付近	 橙:3 青:2 黒:2 白:2 黄:1 灰:1
やり	 灰:5 茶:3 橙:1 黒:1 桃:1
入手	 赤:5 白:2 緑:2 青:1 桃:1
患者	 白:5 灰:3 黄:1 黒:1 緑:1
実情	 青:2 茶:2 紫:1 赤:1 緑:1 橙:1 黒:1 灰:1 白:1
対立	 赤:4 黄:2 黒:2 橙:1 灰:1 白:1
内部	 灰:4 黒:2 白:2 青:1 赤:1 黄:1
身長	 灰:3 青:2 黒:2 橙:1 黄:1 桃:1 白:1
庭園	 緑:11
要請	 赤:3 紫:2 黄:2 黒:2 白:1 緑:1
専務	 茶:3 灰:2 緑:2 青:1 紫:1 黄:1 白:1
ホール	 白:4 黒:3 茶:2 紫:1 橙:1
辺り	 緑:5 茶:3 青:1 橙:1 白:1
前進	 青:5 灰:2 赤:1 橙:1 黄:1 黒:1
新党	 白:4 青:2 灰:2 緑:2 黒:1
運航	 青:6 緑:2 紫:1 赤:1 白:1
創業	 青:3 黒:3 白:3 赤:1 緑:1
上手	 橙:3 茶:2 白:2 緑:2 青:1 黒:1
担当	 白:3 青:2 橙:2 赤:1 茶:1 灰:1 緑:1
供給	 橙:3 緑:3 黄:2 白:2 茶:1
業	 赤:3 黒:3 紫:2 青:1 茶:1 緑:1
殺害	 赤:5 黒:4 青:1 黄:1
次長	 橙:3 灰:2 黒:2 緑:2 青:1 茶:1
商工	 茶:3 灰:2 黒:2 白:2 橙:1 黄:1
東西	 黄:3 緑:3 白:2 青:1 茶:1 橙:1
無理	 灰:4 赤:3 黄:2 黒:2
憂慮	 橙:2 黄:2 灰:2 紫:1 桃:1 青:1 茶:1 黒:1
金	 黄:10 白:1
周囲	 白:3 茶:2 赤:2 緑:2 黄:1 黒:1
多彩	 橙:3 赤:2 桃:2 青:1 紫:1 黄:1 白:1
にぎわい	 桃:4 黄:3 赤:2 橙:2
使用	 白:3 青:2 黄:2 赤:1 茶:1 灰:1 緑:1
笠雲	 白:5 灰:4 緑:2
華やか	 桃:4 赤:3 紫:1 茶:1 橙:1 黄:1
会社	 灰:4 青:2 黒:2 茶:1 白:1 緑:1
イベント	 赤:2 橙:2 黄:2 青:1 桃:1 黒:1 白:1 緑:1
まとめ	 赤:3 黒:2 緑:2 紫:1 青:1 橙:1 白:1
延期	 黄:4 灰:2 橙:1 桃:1 黒:1 白:1 緑:1
攻撃	 赤:8 青:1 灰:1 黒:1
乗用車	 白:5 黒:4 赤:1 緑:1
公約	 緑:3 灰:2 白:2 青:1 赤:1 黄:1 黒:1
世話	 白:3 橙:2 茶:2 黒:2 桃:2
監視	 黒:3 青:2 赤:2 橙:1 茶:1 黄:1 灰:1
形	 黒:3 青:2 茶:2 紫:1 灰:1 白:1 緑:1
入山	 緑:4 茶:3 青:1 赤:1 黒:1 白:1
強風	 青:3 赤:3 黒:3 紫:1 白:1
本社	 白:5 灰:2 青:1 紫:1 茶:1 緑:1
値	 赤:5 黒:4 青:1 紫:1
大差	 赤:4 青:2 灰:2 紫:1 茶:1 白:1
土地	 茶:10 白:1
前提	 黒:3 赤:2 白:2 青:1 茶:1 桃:1 灰:1
けいこ	 茶:3 紫:2 黄:2 赤:1 灰:1 桃:1 白:1
入札	 赤:3 黄:2 黒:2 白:2 青:1 緑:1
発信	 青:3 白:3 赤:2 黄:1 灰:1 桃:1
タイトル	 黄:3 橙:2 桃:2 青:1 灰:1 黒:1 白:1
連合	 青:3 黒:3 紫:2 緑:2 赤:1
塾	 灰:4 青:3 黄:2 茶:1 橙:1
サッカー	 白:5 緑:4 青:2
知名度	 橙:2 白:2 紫:1 赤:1 桃:1 緑:1 黄:1 黒:1 灰:1
役員	 黒:3 青:2 灰:2 赤:1 茶:1 白:1 緑:1
コーチ	 赤:3 黄:2 黒:2 紫:1 青:1 灰:1 白:1
発見	 黄:3 茶:2 青:1 赤:1 橙:1 桃:1 白:1 緑:1
救命	 白:5 赤:4 黄:1 緑:1
余震	 灰:6 茶:2 橙:1 白:1 緑:1
五輪	 黄:4 赤:3 緑:2 橙:1 白:1
駐車	 灰:2 黒:2 白:2 青:1 赤:1 橙:1 黄:1 緑:1
登頂	 白:3 緑:2 紫:1 赤:1 青:1 茶:1 橙:1 灰:1
統治	 青:3 黒:3 緑:2 橙:1 灰:1 白:1
首都	 赤:7 青:2 灰:1 白:1
同盟	 灰:4 青:2 白:2 赤:1 黄:1 緑:1
直径	 黄:3 白:3 青:1 橙:1 赤:1 茶:1 黒:1
"表示"	 黄:4 赤:2 白:2 青:1 橙:1 黒:1
反発	 赤:4 黒:2 灰:2 紫:1 橙:1 黄:1
話し合い	 灰:3 白:3 黒:2 赤:1 茶:1 緑:1
ＢＳ	 黒:3 茶:2 灰:2 緑:2 青:1 橙:1
並み	 緑:2 黄:2 黒:2 紫:1 赤:1 青:1 橙:1 白:1
故障	 赤:3 灰:3 茶:2 黄:1 白:1 緑:1
兵力	 赤:4 黒:2 灰:2 茶:1 黄:1 緑:1
国立	 白:4 緑:3 黄:2 茶:1 黒:1
トップ	 赤:6 白:3 青:1 黄:1
覇者	 青:2 赤:2 黄:2 黒:2 紫:1 白:1 緑:1
最初	 白:6 緑:2 紫:1 青:1 赤:1
トマト	 赤:10 茶:1
一緒	 緑:4 桃:3 紫:1 茶:1 黄:1 白:1
見学	 橙:2 黄:2 黒:2 白:2 青:1 赤:1 緑:1
大幅	 赤:3 青:2 白:2 茶:1 黄:1 灰:1 緑:1
官	 紫:3 灰:3 青:1 茶:1 黄:1 黒:1 白:1
犠牲	 赤:4 黒:2 紫:1 橙:1 黄:1 白:1 緑:1
対	 赤:6 青:2 黄:2 白:1
公正	 白:6 赤:2 黄:1 黒:1 桃:1
周年	 赤:4 青:3 白:2 茶:1 黒:1
幼稚園	 黄:4 桃:3 灰:2 白:1 緑:1
家族	 橙:5 黄:2 緑:2 赤:1 黒:1
進水	 青:9 黄:1 緑:1
恐れ	 黒:3 青:2 赤:2 黄:2 茶:1 灰:1
削減	 黒:3 赤:2 灰:2 青:1 茶:1 桃:1 緑:1
会合	 灰:3 黒:3 青:2 茶:1 赤:1 白:1
携帯	 青:3 黒:2 灰:2 白:2 赤:1 茶:1
"申請"	 緑:3 青:2 白:2 紫:1 茶:1 黒:1 桃:1
いずれ	 茶:4 灰:2 青:1 赤:1 黄:1 黒:1 緑:1
優秀	 青:3 赤:2 緑:2 紫:1 橙:1 灰:1 白:1
お年玉	 赤:2 黄:2 桃:2 白:2 紫:1 茶:1 緑:1
道	 灰:4 茶:3 白:2 緑:2
繊維	 白:9 青:1 緑:1
柱	 茶:6 黒:2 赤:1 白:1 緑:1
生物	 緑:3 茶:2 黄:2 橙:1 赤:1 桃:1 灰:1
無職	 白:6 灰:3 黒:2
共通	 緑:3 青:2 橙:2 黄:2 赤:1 黒:1
時計	 白:6 黒:2 茶:1 橙:1 灰:1
高	 赤:3 青:2 黄:2 白:2 紫:1 橙:1
証	 白:3 橙:2 黄:2 黒:2 茶:1 赤:1
スーパー	 黄:5 白:3 赤:2 緑:1
選挙	 白:3 灰:2 黒:2 青:1 茶:1 橙:1 黄:1
弟子	 青:5 茶:2 黒:2 橙:1 緑:1
不全	 黒:3 白:3 赤:2 茶:1 灰:1 緑:1
郵政	 赤:6 緑:3 橙:1 白:1
通	 青:4 黒:2 緑:2 紫:1 黄:1 灰:1
イデオロギー	 灰:3 紫:2 赤:2 白:2 黄:1 緑:1
成果	 青:4 赤:2 橙:1 黄:1 桃:1 白:1 緑:1
終結	 黒:6 灰:2 白:2 黄:1
崩壊	 赤:4 黒:3 灰:2 紫:1 緑:1
親方	 黒:4 赤:2 橙:2 茶:1 黄:1 白:1
残念	 黒:3 灰:3 青:2 紫:2 橙:1
得点	 青:3 赤:3 黒:2 橙:1 黄:1 白:1
化学	 白:3 紫:2 赤:1 桃:1 青:1 橙:1 黄:1 灰:1
いっぱい	 赤:5 黄:3 桃:2 紫:1
アイスホッケー	 白:9 青:1 灰:1
党首	 白:3 黒:2 紫:1 青:1 茶:1 赤:1 黄:1 緑:1
敗戦	 灰:5 黒:3 白:3
資金	 黄:5 青:2 紫:1 赤:1 黒:1 白:1
価格	 黄:4 赤:3 黒:2 白:1 緑:1
ニュース	 青:4 黒:3 灰:2 橙:1 赤:1
王座	 紫:3 赤:3 橙:1 茶:1 黄:1 桃:1 白:1
存在	 赤:3 白:2 緑:2 紫:1 青:1 灰:1 黒:1
大橋	 灰:3 赤:2 白:2 青:1 紫:1 黄:1 黒:1
疑問	 灰:4 橙:2 青:1 紫:1 赤:1 黄:1 白:1
遊び	 桃:4 青:2 赤:2 橙:1 黒:1 緑:1
課	 黒:4 青:3 白:2 茶:1 緑:1
大使	 黒:2 灰:2 白:2 緑:2 紫:1 青:1 茶:1
長	 緑:3 白:2 青:1 茶:1 赤:1 黄:1 黒:1 灰:1
急	 赤:6 青:3 橙:1 黄:1
光	 黄:7 白:3 橙:1
生徒	 白:4 桃:1 緑:1 青:1 茶:1 橙:1 黄:1 黒:1
火災	 赤:9 橙:1 灰:1
最高	 赤:5 紫:2 桃:2 青:1 白:1
防護	 青:3 黒:3 茶:2 橙:1 灰:1 緑:1
水道	 青:7 白:2 黒:1 桃:1
認識	 青:4 白:2 緑:2 赤:1 黄:1 灰:1
女	 赤:5 桃:3 黄:2 茶:1
人件	 橙:3 黒:3 赤:1 茶:1 灰:1 桃:1 白:1
好き	 桃:5 赤:2 青:1 橙:1 白:1 緑:1
持ち株	 茶:2 黄:2 緑:2 青:1 橙:1 赤:1 灰:1 白:1
ポスト	 赤:11
運輸	 青:6 灰:2 茶:1 黒:1 白:1
円	 黄:3 橙:2 紫:1 緑:1 茶:1 灰:1 黒:1 白:1
枠組み	 黒:4 白:3 黄:2 緑:2
会館	 茶:4 灰:3 紫:1 青:1 桃:1 緑:1
明確	 赤:5 白:3 青:2 緑:1
取引	 茶:2 灰:2 紫:1 赤:1 緑:1 青:1 黄:1 黒:1 白:1
店頭	 黄:7 赤:3 白:1
距離	 青:4 茶:2 黒:2 白:2 緑:1
双方	 橙:2 灰:2 白:2 緑:2 青:1 赤:1 黄:1
ホープ	 青:3 白:3 赤:2 橙:1 黄:1 緑:1
賛成	 青:4 緑:4 赤:2 白:1
側	 緑:3 青:2 橙:2 灰:2 茶:1 黒:1
ストライプス	 青:3 白:3 紫:1 橙:1 黒:1 桃:1 緑:1
脅威	 赤:4 紫:2 黄:2 黒:2 橙:1
アカデミー	 赤:7 茶:2 橙:1 黒:1
計算	 緑:3 黒:2 白:2 青:1 紫:1 黄:1 灰:1
震度	 黒:3 灰:3 茶:2 赤:2 紫:1
出張	 黄:3 灰:2 白:2 青:1 紫:1 茶:1 黒:1
投棄	 灰:5 黒:4 赤:2
世間	 灰:5 黒:2 紫:1 青:1 茶:1 白:1
人	 白:4 黄:2 青:1 茶:1 橙:1 灰:1 黒:1
画像	 青:5 黒:2 白:2 灰:1 緑:1
比例	 茶:2 白:2 緑:2 青:1 橙:1 赤:1 黄:1 灰:1
家元	 黒:5 緑:2 青:1 茶:1 黄:1 白:1
適合	 青:2 赤:2 橙:2 白:2 茶:1 灰:1 桃:1
ゲーム	 黒:3 青:2 白:2 紫:1 赤:1 黄:1 灰:1
自身	 白:4 緑:2 紫:1 橙:1 赤:1 茶:1 黄:1
看護	 白:6 桃:4 灰:1
不定	 灰:7 紫:1 青:1 橙:1 黄:1
非合法	 灰:4 黒:3 紫:2 黄:1 緑:1
引退	 灰:3 青:2 白:2 紫:1 赤:1 黒:1 緑:1
空き缶	 灰:6 青:1 茶:1 橙:1 黒:1 白:1
業績	 黒:3 青:2 黄:2 緑:2 紫:1 赤:1
改革	 赤:6 青:1 黄:1 灰:1 白:1 緑:1
自社	 白:4 黄:2 黒:2 青:1 茶:1 灰:1
出場	 青:3 白:3 黒:2 茶:1 赤:1 黄:1
国技	 茶:3 青:2 橙:2 白:2 黄:1 緑:1
スキッパー	 黄:5 白:2 青:1 赤:1 橙:1 緑:1
殺人	 黒:6 赤:4 灰:1
残り	 白:3 黄:2 灰:2 青:1 紫:1 赤:1 緑:1
宅	 白:3 青:2 茶:2 灰:2 黄:1 緑:1
コメント	 白:3 紫:2 桃:1 緑:1 青:1 橙:1 灰:1 黒:1
座席	 青:4 灰:2 白:2 緑:2 茶:1
探検	 青:4 茶:4 緑:2 黄:1
勢力	 赤:4 茶:3 青:1 黄:1 桃:1 黒:1
楽しみ	 橙:4 黄:2 桃:2 青:1 黒:1 白:1
中盤	 黄:5 灰:2 橙:1 赤:1 白:1 緑:1
初	 白:7 赤:1 茶:1 桃:1 緑:1
遺族	 黒:3 緑:3 紫:2 灰:2 赤:1
普通	 白:6 青:2 橙:1 灰:1 緑:1
北上	 青:3 白:3 桃:2 茶:1 灰:1 黒:1
横ばい	 黄:4 白:2 緑:2 橙:1 赤:1 灰:1
手帳	 黒:5 茶:2 白:2 黄:1 灰:1
特集	 赤:4 黄:3 青:1 橙:1 桃:1 白:1
人数	 青:3 黄:3 黒:3 白:1 緑:1
調べ	 茶:2 黄:2 桃:1 緑:1 青:1 橙:1 黒:1 灰:1 白:1
周辺	 緑:5 青:2 黄:2 茶:1 灰:1
天気	 青:5 橙:2 白:2 紫:1 黄:1
出費	 赤:8 青:1 橙:1 灰:1
リフト	 白:3 紫:2 黄:2 茶:1 灰:1 黒:1 緑:1
市域	 茶:2 灰:2 白:2 緑:2 青:1 黄:1 桃:1
当面	 灰:3 橙:2 桃:1 緑:1 青:1 茶:1 黒:1 白:1
届	 白:6 青:1 茶:1 橙:1 黄:1 緑:1
いたずら	 黄:4 橙:2 青:1 茶:1 赤:1 黒:1 桃:1
土俵	 茶:9 紫:1 灰:1
選	 灰:2 桃:2 緑:2 青:1 紫:1 赤:1 黄:1 白:1
増加	 赤:7 紫:1 茶:1 橙:1 黄:1
購入	 緑:2 青:2 黄:2 紫:1 赤:1 桃:1 橙:1 灰:1
明るみ	 白:4 赤:2 橙:2 紫:1 黄:1 桃:1
等	 灰:3 白:3 緑:2 橙:1 茶:1 黄:1
班	 白:3 青:2 橙:2 黒:2 茶:1 灰:1
就任	 白:5 黄:2 青:1 赤:1 黒:1 灰:1
義務	 緑:4 黒:3 灰:2 青:1 黄:1
観客	 黄:3 灰:2 青:1 橙:1 赤:1 黒:1 白:1 緑:1
上	 白:3 青:2 赤:2 黒:2 紫:1 黄:1
"可能"	 青:5 黄:3 赤:1 橙:1 桃:1
先生	 茶:3 青:2 白:2 紫:1 灰:1 黒:1 緑:1
出席	 青:2 赤:2 黄:2 白:2 紫:1 橙:1 黒:1
個別	 黒:3 青:2 白:2 紫:1 橙:1 赤:1 灰:1
少年	 青:8 白:2 緑:1
改善	 白:4 赤:2 緑:2 青:1 橙:1 灰:1
"予測"	 黄:3 青:2 白:2 紫:1 茶:1 赤:1 桃:1
同村	 茶:4 緑:4 黄:2 灰:1
死体	 黒:5 灰:4 青:1 橙:1
歌舞伎	 赤:4 白:3 紫:2 緑:2
同期	 青:4 黒:2 白:2 緑:2 茶:1
講演	 白:3 茶:2 橙:2 青:1 紫:1 赤:1 緑:1
船員	 青:5 白:3 紫:1 桃:1 黒:1
合意	 赤:4 青:2 緑:2 橙:1 黒:1 白:1
理論	 青:4 紫:2 白:2 橙:1 灰:1 緑:1
廃刊	 灰:8 青:1 赤:1 橙:1
説得	 白:4 赤:3 青:2 橙:1 灰:1
本館	 青:2 灰:2 黒:2 白:2 茶:1 赤:1 緑:1
国家	 黒:3 茶:2 赤:1 緑:1 青:1 橙:1 灰:1 白:1
川	 青:7 桃:2 橙:1 黒:1
創立	 白:4 黒:3 緑:2 黄:1 灰:1
団	 白:3 赤:2 紫:1 青:1 橙:1 茶:1 灰:1 黒:1
提供	 青:3 白:2 緑:2 紫:1 橙:1 茶:1 桃:1
官僚	 黒:5 灰:3 紫:2 赤:1
タックル	 赤:6 黄:2 紫:1 橙:1 白:1
実業	 青:3 黒:2 白:2 紫:1 茶:1 赤:1 緑:1
海外	 青:5 黄:2 茶:1 黒:1 桃:1 緑:1
給水	 青:8 白:3
公	 緑:4 白:3 青:1 茶:1 黄:1 灰:1
農	 緑:9 赤:1 茶:1
和解	 青:3 緑:3 黄:2 黒:2 白:1
陣営	 青:2 黄:2 黒:2 紫:1 赤:1 緑:1 橙:1 白:1
旧	 黒:3 黄:2 灰:2 紫:1 青:1 茶:1 橙:1
後継	 青:3 黄:3 緑:3 紫:1 赤:1
